TimeStamp,RAW-ENG,MIN-ENG,MAX-ENG,RAW-VAL,MIN-VAL,MAX-VAL,RAW-MED,MIN-MED,MAX-MED,RAW-FRU,MIN-FRU,MAX-FRU,RAW-FOC,MIN-FOC,MAX-FOC,RAW-EXC,MIN-EXC,MAX-EXC,MarkerRange,MarkerType,MarkerTitle
1445326710.618,-0.307472,-1.82169,0.223817,-0.305733,-17.0353,20.0983,0.122767,-0.0115896,0.391339,51.0574,-6979.49,11578.9,0.703982,0,1,3.57444,2.73424,17.4942,0,0,0
1445326711.1689999,-0.323468,-1.82158,0.224412,-0.227806,-17.055,20.0984,0.129263,-0.0114321,0.391066,51.7114,-6976.1,11563.9,0.697029,0,1,3.52213,2.73424,17.4942,0,0,0
1445326711.6670001,-0.333755,-1.82142,0.224956,-0.223764,-17.0744,20.0984,0.135109,-0.0112635,0.390808,51.4353,-6972.7,11549,0.69262,0,1,3.52728,2.73424,17.4942,0,0,0
1445326712.138,-0.341012,-1.82125,0.225464,-0.320295,-17.0939,20.0984,0.140371,-0.0110856,0.390565,51.7157,-6969.3,11534.1,0.695886,0,1,3.70225,2.73424,17.4942,0,0,0
1445326712.658,-0.357908,-1.82101,0.225894,-0.394726,-17.1135,20.0985,0.143942,-0.0109017,0.390332,52.4906,-6965.88,11519.3,0.69654,0,1,3.77164,1.93361,17.3398,0,0,0
1445326713.1670001,-0.38096,-1.82071,0.226224,-0.356222,-17.1331,20.0986,0.146343,-0.0107142,0.390106,55.0198,-6962.45,11504.5,0.684819,0,1,3.537,1.93361,17.3398,0,0,0
1445326713.6789999,-0.391286,-1.82038,0.22651,-0.096133,-17.152,20.0983,0.148504,-0.0105237,0.389888,73.5689,-6958.92,11489.8,0.701142,0,1,3.95404,1.93361,17.3398,0,0,0
1445326714.177,-0.384274,-1.82007,0.226824,1.94875,-17.1651,20.0959,0.150449,-0.0103305,0.389675,183.387,-6954.85,11475.2,0.724346,0,1,4.54103,1.93361,17.3398,0,0,0
1445326714.697,-0.375564,-1.81978,0.227171,15.4588,-17.1542,20.0872,0.152388,-0.0101347,0.389469,360.375,-6949.94,11460.7,0.768315,0,1,5.59139,1.93361,17.3398,0,0,0
1445326715.1800001,-0.371937,-1.8195,0.227532,34.0216,-17.1669,20.1083,0.177942,-0.00990293,0.389352,548.87,-6944.19,11446.3,0.808132,0,1,6.79211,1.93361,17.3398,0,0,0
1445326715.727,-0.368203,-1.81923,0.227907,46.7459,-17.3169,20.2297,0.224663,-0.00963148,0.389447,636.109,-6938.08,11432,0.793368,0,1,6.97866,1.93361,17.3398,0,0,0
1445326716.227,-0.364842,-1.81897,0.228295,46.4483,-17.3169,20.2297,0.256421,-0.00963148,0.389447,678.136,-6931.79,11417.9,0.769153,0,1,6.77854,1.93361,17.3398,0,0,0
1445326716.747,-0.362488,-1.81872,0.22869,33.4794,-17.3169,20.2297,0.256421,-0.00963148,0.389447,619.413,-6925.77,11403.7,0.780366,0,1,7.02298,1.93361,17.3398,0,0,0
1445326717.247,-0.366073,-1.81845,0.229069,15.8103,-17.5314,20.3953,0.256421,-0.00963148,0.389447,562.386,-6920,11389.6,0.769807,0,1,6.76253,1.93361,17.3398,0,0,0
1445326717.7390001,-0.3825,-1.81814,0.229377,4.33072,-17.6151,20.4702,0.256421,-0.00963148,0.389447,511.289,-6914.47,11375.4,0.758133,0,1,6.4626,1.93361,17.3398,0,0,0
1445326718.2390001,-0.399677,-1.81778,0.229616,1.30698,-17.632,20.495,0.256421,-0.00963148,0.389447,465.009,-6909.15,11361.3,0.733235,0,1,5.86601,1.93361,17.3398,0,0,0
1445326718.7379999,-0.415524,-1.81739,0.229793,0.238561,-17.6234,20.4968,0.256421,-0.00963148,0.389447,423.325,-6904.02,11347.3,0.723497,0,1,5.62241,1.93361,17.3398,0,0,0
1445326719.2869999,-0.438112,-1.81694,0.229888,0.190052,-17.6095,20.4902,0.256421,-0.00963148,0.389447,385.378,-6899.07,11333.2,0.726898,0,1,5.67021,1.93361,17.3398,0,0,0
1445326719.77,-0.459042,-1.81646,0.229912,0.111943,-17.5983,20.4814,0.256421,-0.00963148,0.389447,350.777,-6894.28,11319.2,0.71864,0,1,5.45526,1.93361,17.3398,0,0,0
1445326720.2579999,-0.469552,-1.81595,0.229901,0.00268421,-17.5922,20.473,0.256421,-0.00963148,0.389447,320.567,-6889.62,11305.2,0.702411,0,1,5.07656,1.93361,17.3398,0,0,0
1445326720.7920001,-0.475165,-1.81544,0.229872,-0.128476,-17.5914,20.4658,0.256421,-0.00963148,0.389447,293.068,-6885.1,11291.3,0.690638,0,1,4.81033,1.93361,17.3398,0,0,0
1445326721.2869999,-0.484253,-1.81492,0.229814,-0.159352,-17.5953,20.4601,0.251549,-0.00935308,0.389694,268.523,-6880.69,11277.4,0.688988,0,1,4.717,1.93361,17.3398,0,0,0
1445326721.8180001,-0.496278,-1.81437,0.229721,-0.0799376,-17.6026,20.4555,0.240225,-0.00907721,0.389873,246.568,-6876.38,11263.6,0.691262,0,1,4.6365,1.93361,17.3398,0,0,0
1445326722.329,-0.5071,-1.81382,0.229597,0.0225813,-17.6122,20.4517,0.230693,-0.00880524,0.389996,226.989,-6872.17,11249.7,0.679129,0,1,4.25225,1.93361,17.3398,0,0,0
1445326722.8269999,-0.517866,-1.81325,0.229444,0.0295057,-17.6236,20.4486,0.223609,-0.00853732,0.390081,209.74,-6868.03,11236,0.674405,0,1,4.06836,1.93361,17.3398,0,0,0
1445326723.3210001,-0.534379,-1.81267,0.229248,0.00733596,-17.6361,20.4459,0.218026,-0.00827333,0.390136,194.23,-6863.97,11222.3,0.679264,0,1,4.11266,1.93361,17.3398,0,0,0
1445326723.8670001,-0.561438,-1.81208,0.228988,0.0750799,-17.6494,20.4435,0.213523,-0.00801303,0.390168,179.878,-6859.97,11208.6,0.675302,0,1,3.95401,1.93361,17.3398,0,0,0
1445326724.378,-0.59764,-1.81147,0.228654,0.070264,-17.6631,20.4413,0.20947,-0.00775641,0.39018,167.516,-6856.03,11194.9,0.665025,0,1,3.64673,1.93361,17.3398,0,0,0
1445326724.8399999,-0.630222,-1.81087,0.228265,-0.0339245,-17.6774,20.4393,0.205822,-0.00750338,0.390175,155.876,-6852.14,11181.4,0.658781,0,1,3.44381,1.93361,17.3398,0,0,0
1445326725.359,-0.659545,-1.81028,0.227836,-0.106004,-17.6922,20.4375,0.203171,-0.00725332,0.390157,146.032,-6848.3,11167.8,0.657769,0,1,3.37707,1.93361,17.3398,0,0,0
